Name,Rating,Expertise,Number_of_Employees,Type,Age,Location,Highly_Rated_For,Critically_Rated_For
Optum,4.0,Healthcare,10k-50k Employees,46 years old,Prairie +26 more,Prairie +26 more,"Job Security, Work Life Balance, Company Culture",N/A
Nagarjuna Construction Company,4.1,Engineering & Construction,5k-10k Employees,Public,25 years old,Hyderabad/Secunderabad +208 more,"Job Security, Skill Development / Learning, Company Culture",N/A
KEC International,4.1,Engineering & Construction,5k-10k Employees,Public,78 years old,Mumbai +253 more,"Job Security, Skill Development / Learning, Company Culture",N/A
Aditya Birla Fashion and Retail,4.2,Retail,10k-50k Employees,Fortune India 500,8 years old,Mumbai +215 more,"Job Security, Skill Development / Learning, Company Culture",N/A
Muthoot Fincorp,4.0,NBFC,10k-50k Employees,Conglomerate,136 years old,Trivandrum/Thiruvananthapuram +517 more,"Job Security, Skill Development / Learning, Work Life Balance",N/A
Viatris,4.3,Pharma,10k-50k Employees,Forbes Global 2000,62 years old,Canonsburg +67 more,"Salary & Benefits, Job Security, Work Life Balance",N/A
Piramal Capital Housing Finance,4.2,NBFC,1k-5k Employees,3 years old,Mumbai +305 more,Mumbai +305 more,"Company Culture, Skill Development / Learning, Work Life Balance",N/A
Samvardhana Motherson Group,3.8,Auto Components,1k-5k Employees,Public,37 years old,Noida +72 more,Job Security,N/A
Tata Communications,4.1,Telecom,5k-10k Employees,Public,37 years old,Mumbai +86 more,"Job Security, Company Culture, Skill Development / Learning",N/A
Royal Enfield,4.2,Automobile,10k-50k Employees,122 years old,Gurgaon/Gurugram +283 more,Gurgaon/Gurugram +283 more,"Skill Development / Learning, Company Culture, Work Satisfaction",N/A
Godrej & Boyce Manufacturing,3.9,Engineering & Construction,10k-50k Employees,Fortune India 500,126 years old,Mumbai +125 more,Job Security,N/A
L&T Finance,4.0,NBFC,10k-50k Employees,Public,29 years old,Mumbai +454 more,"Salary & Benefits, Skill Development / Learning",N/A
LG Electronics,4.0,Consumer Electronics & Appliances,10k-50k Employees,Public,65 years old,Seoul +233 more,"Job Security, Skill Development / Learning",N/A
John Deere,4.3,IT Services & Consulting,5k-10k Employees,Fortune India 500,22 years old,Moline +112 more,"Company Culture, Skill Development / Learning, Work Life Balance",N/A
Intas Pharmaceuticals,4.2,Pharma,10k-50k Employees,Fortune India 500,23 years old,Ahmedabad +110 more,"Job Security, Work Life Balance, Salary & Benefits",N/A
Whitehat jr,3.5,EdTech,5k-10k Employees,Startup,5 years old,Mumbai +49 more,N/A,Job Security
Varun Beverages,4.0,Beverage,5k-10k Employees,Public,28 years old,Gurgaon/Gurugram +255 more,"Job Security, Salary & Benefits",N/A
Thermax Limited,4.2,Industrial Machinery,1k-5k Employees,Public,57 years old,Pune +158 more,"Job Security, Company Culture, Skill Development / Learning",N/A
Hetero Drugs,3.8,Pharma,1k-5k Employees,30 years old,Hyderabad/Secunderabad +38 more,Hyderabad/Secunderabad +38 more,Job Security,N/A
Deutsche Bank,4.1,Banking,10k-50k Employees,Fortune India 500,153 years old,Frankfurt +34 more,"Job Security, Company Culture, Work Life Balance",N/A
Randstad,3.9,1k-5k Employees,Conglomerate,31 years old,Chennai +234 more,Chennai +234 more,Work Life Balance,N/A
Ford Motor,4.4,Automobile,5k-10k Employees,Public,120 years old,Dearborn +105 more,"Company Culture, Work Life Balance, Salary & Benefits",N/A
Abbott Healthcare,4.1,Pharma,10k-50k Employees,Public,32 years old,Illinois City +166 more,"Company Culture, Salary & Benefits, Work Life Balance",N/A
Havells,4.1,Electrical Equipment,5k-10k Employees,Public,40 years old,Noida +167 more,"Work Life Balance, Salary & Benefits, Company Culture",N/A
Sodexo,4.1,Facility Management Services,10k-50k Employees,Forbes Global 2000,15 years old,Issy les Moulineaux +126 more,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
Subros,3.9,Auto Components,1k-5k Employees,Public,38 years old,Noida +51 more,"Job Security, Skill Development / Learning, Company Culture",N/A
Persistent Systems,3.8,IT Services & Consulting,10k-50k Employees,Public,33 years old,Pune +28 more,"Company Culture, Skill Development / Learning, Work Life Balance",N/A
Macleods Pharmaceuticals,3.8,Pharma,10k-50k Employees,Public,37 years old,Mumbai +87 more,Job Security,N/A
CARS24,3.6,Internet,5k-10k Employees,Indian Unicorn,8 years old,Gurgaon +142 more,N/A,N/A
VE Commercial Vehicles,4.0,Automobile,1k-5k Employees,15 years old,Gurgaon/Gurugram +123 more,Gurgaon/Gurugram +123 more,"Job Security, Skill Development / Learning",N/A
